INSTANCE MEMORY_REQUIRED ITERATIONS DIRECTORY_SIZE TOTAL_2D_GRIDPOINTS TOTAL_3D_GRIDPOINTS  cores-1 cores-2 cores-4 cores-6 cores-8 cores-16 cores-32 cores-64 
Vicksburg_Release_none_none 1239 29 973824 30720 1044480 1.0 1.42252490533 1.96462009377 --- 2.31693484869 2.81926426881 3.06547393728 --- 
WR_Section1_ScaleXY_2 2038 48 10380902 28196 4934300 1.0 1.62313093809 2.44553190528 --- 4.10207579934 6.68632478452 4.5308126928 --- 
WR_Section1_ScaleXY_4 514 48 2621440 7102 1193136 1.0 1.50641506047 2.05541254861 --- 2.46488597064 1.08515716209 1.41591569623 --- 
WR_Section1_ScaleXY_8 131 48 687104 1802 282914 1.0 1.45938605459 1.64263576864 --- 1.68878118628 0.586301428259 0.469285506358 --- 
WR_Section1_none_none 154 48 623616 2120 226840 1.0 1.02881257972 1.11022009015 --- 1.43533403957 1.29516345297 0.582605051839 --- 
Zeraf_2_HRes_NewRel_ScaleXY_2 3202 38 5557452 60630 2546460 1.0 1.69359841037 3.23025790422 --- 4.81993888169 8.00864229482 13.6303611761 --- 
Zeraf_2_HRes_NewRel_ScaleXY_4 804 38 1468006 15222 639324 1.0 1.54838148384 2.92471589519 --- 4.36269710445 6.34355614662 7.61083537974 --- 
Zeraf_2_HRes_NewRel_ScaleXY_8 203 38 386048 3835 153400 1.0 1.66728141173 2.76966197765 --- 3.48866363342 4.14642628059 3.97246135427 --- 
Zeraf_2_HRes_NewRel_none_none 12755 38 22020096 241535 10144470 1.0 --- 4.0 --- 6.64224576712 11.7116093125 21.5364783412 --- 
opl_245_C_ScaleXY_2 3912 12 8283750 196328 6086168 1.0 2.0 4.05147128561 --- 7.37808262961 13.4454063743 17.7539962729 --- 
opl_245_C_ScaleXY_4 982 12 2097152 49276 1527556 1.0 1.77699367884 3.60711231758 --- 6.64464959701 10.0365617982 7.94317135088 --- 
opl_245_C_ScaleXY_8 248 12 546816 12416 372480 1.0 1.56427032312 3.11295600199 --- 3.88010945637 6.05454122633 5.36252311742 2.24204078022 
opl_245_C_none_none 15606 12 33554432 783255 25064160 1.0 --- 4.0 5.97679093945 7.7752075148 15.5147574969 25.3017092287 --- 
opl_245_ScaleXY_2 13644 51 14680064 196328 9816400 1.0 --- 4.0 --- 7.85244225507 13.968106441 21.2017618086 --- 
opl_245_ScaleXY_4 3425 51 3565158 49276 2463800 1.0 1.90641117974 3.70873630386 --- 6.29571389326 8.24438475923 11.0164961537 --- 
opl_245_ScaleXY_8 863 51 908288 12416 595968 1.0 1.90692592444 3.04918428452 --- 4.37524077735 5.07490453721 2.44357417124 --- 
project1-56M78_ScaleXY_2 100 --- 15728640 145233 11473407 1.0 1.37286958561 1.51575031678 --- 1.57185713443 1.1181017229 --- --- 
project1-56M78_ScaleXY_4 100 --- 3774873 36505 2774380 1.0 0.871958693756 0.856729170685 --- 0.706437594478 0.57869134977 0.366084467927 --- 
project1-56M78_ScaleXY_8 100 --- 988160 9225 691875 1.0 0.803338316869 0.742376679759 --- 0.804609066922 0.593809631462 0.665688659324 --- 
project2-02M46_ScaleXY_2 100 --- 613376 7134 470844 1.0 0.774981364728 0.0480191184834 --- 0.708048124981 0.365991413233 0.24456659386 0.165369335853 
project2-02M46_ScaleXY_4 100 --- 163840 1804 119064 1.0 0.726377359312 0.677339910405 --- 0.486538757693 0.390781591854 0.236197588673 0.15545664681 
