INSTANCE,MEMORY_REQUIRED,TOTAL_2D_GRIDPOINTS,TOTAL_3D_GRIDPOINTS,p1,p2,p4,p8,p16,p32,p64
Model3D_v5_none_none,2488,14630,1067990,1,0.9,1.285714286,1,0.782608696,0.266666667,
Model3D_v6_scenario8_gsy_none_none,2517,14630,1082620,1,0.959183673,1.516129032,1.236842105,0.155629139,0.55952381,0.321917808
WR_Section1_ScaleXY_4,2614,7102,1193136,1,1.055555556,1.76744186,1.433962264,0.938271605,0.54676259,
IOtest-95M00_ScaleXY_8,2938,15625,1281250,1,1.770642202,2.643835616,3.509090909,3.216666667,3.112903226,2.643835616
rashda_june4_none_none,2940,20701,1283462,1,1.025862069,1.4875,1.239583333,0.862318841,0.563981043,
opl_245_C_ScaleXY_4,4435,49276,1527556,1,0.174757282,0.387096774,0.441717791,0.298755187,0.757894737,
project2-02M46_none_none,4758,27030,1783980,1,1.277108434,1.796610169,1.859649123,1.737704918,1.277108434,0.746478873
BigProject-44M18_ScaleXY_4,5681,66049,2047519,1,1.361702128,1.777777778,2.666666667,2.909090909,2,1.72972973
BrowseExtensionHigh3_ScaleXY_4,4574,18900,2097900,1,0.985507246,2.111801242,2.546816479,1.982507289,1.878453039,1.541950113
K3_CBM_DIONISOS_SAND1_none_none,5635,21672,2448936,1,1.226519337,1.881355932,1.96460177,1.707692308,1.283236994,0.913580247
K3AllSand_none_none,5635,21672,2448936,1,1.161971831,1.617647059,1.434782609,1.25,0.882352941,0.676229508
opl_245_ScaleXY_4,6111,49276,2463800,1,2,2.351648352,1.329192547,2.077669903,1.927927928,
Zeraf_2_HRes_NewRel_ScaleXY_2,6185,60630,2546460,1,2,3.541666667,2.556390977,2.857142857,2.297297297,
30_30_Regional_A_ScaleXY_2,5806,29029,2554552,1,0.600515464,1.465408805,1.606896552,0.728125,0.987288136,0.489495798
Gron_Olaf_nod_newHC_none_none,4680,50861,2593911,1,0.922689076,0.871428571,0.795652174,0.840735069,0.632488479,0.37966805
NVG_2004_TEST_none_none,6751,59212,2723752,1,2,3.03030303,3.846153846,0.775193798,3.03030303,
project1-56M78_ScaleXY_4,6644,36505,2774380,1,2,3.518987342,3.971428571,2.926315789,2.090225564,
Thermal_ScaleXY_2,6367,48972,2889348,1,2,0.879120879,1.509433962,2.171945701,2.123893805,
LunskoyeDeep_test_GSY_none_none,7116,43920,2898720,1,2,3.085714286,3.6,2.769230769,2.454545455,2.037735849
LunskoyeDeepHT_none_none,7203,43920,3074400,1,2,3.086956522,3.302325581,3.021276596,2.327868852,1.844155844
LunskoyeDeepL4_none_none,7203,43920,3074400,1,2,3.208333333,3.756097561,3.581395349,2.566666667,2.169014085
NVG_revised_model_none_none,9328,99234,3473190,1,2,3.283018868,1.596330275,3.48,3.782608696,
project3-04M96_none_none,9328,99234,3473190,1,2,3.176470588,3,4.764705882,4.05,2.571428571
WR_Section1_ScaleXY_2,10377,28196,4934300,1,2,4.382978723,4.51754386,3.961538462,3.52739726,
IOtest-95M00_ScaleXY_4,11750,62500,5125000,1,2,3.294117647,5.631284916,6.904109589,6.379746835,2.131078224
opl_245_C_ScaleXY_2,17670,196328,6086168,1,,4,2.263473054,2.048780488,8.042553191,
BigProject-44M18_ScaleXY_2,22633,263169,8158239,1,,4,5.82278481,7.076923077,8.679245283,2.371134021
BrowseExtensionHigh3_ScaleXY_2,18228,75320,8435840,1,,4,8.202474691,10.89985052,12.13311148,9.582128778
opl_245_ScaleXY_2,24345,196328,9816400,1,,,8,9.443298969,10.12154696,
Zeraf_2_HRes_NewRel_none_none,24637,241535,10144470,1,,,8,7.406360424,8.124031008,
30_30_Regional_A_none_none,23142,115710,10413900,1,1.128143713,1.942268041,2.532258065,2.916408669,2.415384615,1.679144385
project1-56M78_ScaleXY_2,26433,145233,11473407,1,,,8,8.321428571,9.461928934,
Thermal_none_none,25351,195003,11505177,1,,,8,13.78285714,12.89839572,
IOtest-95M00_ScaleXY_2,47000,250000,20500000,1,,,8,12.22580645,14.7902439,17.8879056
opl_245_C_none_none,70493,783255,25064160,1,,,,16,17.41176471,
BigProject-44M18_none_none,90354,1050625,32569375,1,,,,16,21.86666667,20.62893082
BrowseExtensionHigh3_none_none,72780,300742,33683104,1,,,,16,32.25935162,39.52941176
opl_245_none_none,97124,783255,39162750,1,,,,,32,
project1-56M78_none_none,105444,579361,45769519,1,,,,,32,
IOtest-95M00_none_none,188000,1000000,82000000,1,,,,,32,46.82732919
