INSTANCE MEMORY_REQUIRED ITERATIONS DIRECTORY_SIZE TOTAL_2D_GRIDPOINTS TOTAL_3D_GRIDPOINTS  cores-1 cores-2 cores-4 cores-8 cores-16 cores-32 cores-64 
NVG_revised_model_none_none 9328 11 3670016 99234 3473190 1.0 2.0 3.28301886792 1.59633027523 3.48 3.78260869565 --- 
SAUDI1_ScaleXY_2 252 72 910172 2928 87840 1.0 0.093131548312 0.334728033473 0.233918128655 0.197530864198 0.155642023346 --- 
SAUDI1_ScaleXY_4 100 72 264632 744 22320 1.0 0.0956399437412 0.104776579353 0.0653218059558 0.377777777778 0.131021194605 --- 
SAUDI1_none_none 999 72 598016 11616 360096 1.0 1.13506493506 1.60661764706 3.42297650131 2.47358490566 2.39670932358 2.60636182903 
SimpleSMTest_none_none 100 14 16384 441 7497 1.0 0.126984126984 0.0879120879121 0.533333333333 0.333333333333 0.173913043478 --- 
TS_3D_COUPLED_SGI_ScaleXY_2 100 14 2252 121 5445 1.0 --- --- --- --- --- --- 
TS_3D_COUPLED_SGI_none_none 100 14 30720 441 19845 1.0 0.111111111111 0.583333333333 0.388888888889 0.28 0.145833333333 --- 
TemperatureErosionTest_ScaleXY_2 100 6 10444 676 14872 1.0 5.3 5.3 2.65 5.3 3.3125 --- 
TemperatureErosionTest_none_none 177 6 32768 2601 57222 1.0 1.73076923077 4.09090909091 6.42857142857 5.0 2.64705882353 --- 
Thermal_ScaleXY_2 6367 47 9471764 48972 2889348 1.0 2.0 0.879120879121 1.50943396226 2.17194570136 2.12389380531 --- 
Thermal_ScaleXY_4 1599 47 2546363 12296 725464 1.0 0.268065268065 0.269953051643 0.445736434109 0.315934065934 0.566502463054 --- 
Thermal_ScaleXY_8 400 47 978466 3074 181366 1.0 0.611721611722 0.787735849057 2.0490797546 2.95575221239 1.87640449438 --- 
Thermal_none_none 25351 47 35651584 195003 11505177 1.0 --- --- 8.0 13.7828571429 12.8983957219 --- 
Tutorial_ScaleXY_2 100 16 51724 729 23328 1.0 1.58974358974 4.32558139535 2.90625 5.47058823529 3.50943396226 --- 
Tutorial_none_none 235 16 167936 2862 91584 1.0 1.20212765957 5.94736842105 4.52 2.825 0.991228070175 1.09708737864 
Vicksburg_Release_ScaleXY_2 630 12 292264 7680 261120 1.0 1.52941176471 2.16666666667 1.3 1.18181818182 0.722222222222 --- 
Vicksburg_Release_ScaleXY_4 158 12 84560 1920 61440 1.0 0.571428571429 0.8 0.533333333333 0.363636363636 0.222222222222 --- 
Vicksburg_Release_ScaleXY_8 100 12 36016 480 15360 1.0 0.666666666667 0.727272727273 0.533333333333 0.181818181818 0.222222222222 0.153846153846 
Vicksburg_Release_none_none 2520 12 1153433 30720 1044480 1.0 2.58 6.14285714286 5.16 4.96153846154 3.225 --- 
WR_Section1_ScaleXY_2 10377 33 12906424 28196 4934300 1.0 2.0 4.3829787234 4.51754385965 3.96153846154 3.52739726027 --- 
WR_Section1_ScaleXY_4 2614 33 3531408 7102 1193136 1.0 1.05555555556 1.76744186047 1.43396226415 0.938271604938 0.546762589928 --- 
WR_Section1_ScaleXY_8 664 33 1315714 1802 282914 1.0 0.641666666667 1.18461538462 0.802083333333 0.28 0.305555555556 --- 
WR_Section1_none_none 781 33 760832 2120 226840 1.0 0.723076923077 0.87037037037 0.408695652174 0.335714285714 0.17803030303 --- 
Zeraf_2_HRes_NewRel_ScaleXY_2 6185 23 7238188 60630 2546460 1.0 2.0 3.54166666667 2.55639097744 2.85714285714 2.2972972973 --- 
Zeraf_2_HRes_NewRel_ScaleXY_4 1553 23 1977207 15222 639324 1.0 0.7625 1.24489795918 0.438848920863 0.701149425287 0.484126984127 --- 
Zeraf_2_HRes_NewRel_ScaleXY_8 392 23 782037 3835 153400 1.0 0.654545454545 1.33333333333 0.75 0.521739130435 0.191489361702 --- 
Zeraf_2_HRes_NewRel_none_none 24637 23 26214400 241535 10144470 1.0 --- --- 8.0 7.40636042403 8.12403100775 --- 
opl_245_C_ScaleXY_2 17670 17 10766360 196328 6086168 1.0 --- 4.0 2.26347305389 2.0487804878 8.04255319149 --- 
opl_245_C_ScaleXY_4 4435 17 2867247 49276 1527556 1.0 0.174757281553 0.387096774194 0.441717791411 0.298755186722 0.757894736842 --- 
