Requirements:  APPLICATION_NAME=generation  
INSTANCE  MAX_2D_GRIDPOINTS_PER_PROCESS  DURATION  
project2-02M46_ScaleXY_4  862.312  12.7059099674  
project5-00M38_ScaleXY_2  1920.0  648.385113001  
project2-02M46_ScaleXY_4  453.222  13.4814999104  
project4-00M19_none_none  3810.996  11.2739801407  
project4-00M19_none_none  1918.0  14.8152189255  
project4-00M19_none_none  960.0  15.507627964  
project3-04M96_ScaleXY_4  1596.0  112.517141819  
project3-04M96_ScaleXY_4  6300.0  199.8237679  
project3-04M96_ScaleXY_4  6300.0  344.326648951  
project5-00M38_none_none  1920.0  700.249532938  
project5-00M38_none_none  3840.0  1266.77407193  
project5-00M38_none_none  7680.0  2277.19285083  
project2-02M46_ScaleXY_2  6499.074  10.8629479408  
project2-02M46_ScaleXY_2  3517.8  14.0170440674  
project2-02M46_ScaleXY_2  1775.136  226.221311092  
project3-04M96_ScaleXY_2  6300.0  386.705430984  
project3-04M96_ScaleXY_2  12516.0  736.739751816  
project3-04M96_ScaleXY_2  24883.0  1354.19211006  
0FaultTest01_none_none  23125.0  4.4340839386  
0FaultTest01_none_none  11625.0  9.12613487244  
0FaultTest01_none_none  5859.0  9.19052290916  
0FaultTest01_none_none  2961.0  13.4244220257  
0FaultTest01_ScaleXY_2  5859.0  4.63848996162  
0FaultTest01_ScaleXY_2  2961.0  7.93715596199  
0FaultTest01_ScaleXY_2  1504.0  9.93820095062  
0FaultTest01_ScaleXY_2  768.0  15.1889379025  
0FaultTest01_ScaleXY_2  384.0  17.8708600998  
0FaultTest01_ScaleXY_4  768.0  7.71194720268  
0FaultTest01_ScaleXY_4  192.0  11.4450371265  
0FaultTest01_ScaleXY_4  96.0  17.748663187  
0FaultTest01_ScaleXY_8  384.0  4.18502116203  
0FaultTest01_ScaleXY_8  192.0  7.71551513672  
0FaultTest01_ScaleXY_8  96.0  9.04511404037  
0FaultTest01_ScaleXY_8  48.0  11.2885129452  
0FaultTest01_ScaleXY_8  24.0  17.5136988163  
0FaultTest01_ScaleXY_8  12.0  34.2215390205  
0FaultTest01_none_none  1504.0  18.5392360687  
30_30_Regional_A_ScaleXY_8  358.956  151.5466609  
30_30_Regional_A_ScaleXY_8  998.784  243.89774704  
89_Acquifer_mig_none_none  441.0  39.7297599316  
30_30_Regional_A_ScaleXY_8  539.136  253.883972883  
30_30_Regional_A_ScaleXY_8  190.944  151.699707985  
0FaultTest01_none_none  768.0  54.5486700535  
89_Acquifer_mig_none_none  441.0  33.9273920059  
89_Acquifer_mig_none_none  121.0  33.3250780106  
89_Acquifer_mig_ScaleXY_2  121.0  17.5840470791  
89_Acquifer_mig_none_none  66.0  36.2483010292  
89_Acquifer_mig_ScaleXY_2  66.0  23.8442828655  
89_Acquifer_mig_ScaleXY_2  36.0  26.5748569965  
89_Acquifer_mig_ScaleXY_2  18.0  32.2062630653  
0FaultTest01_ScaleXY_2  192.0  30.027695179  
89_Acquifer_mig_ScaleXY_4  36.0  10.5075309277  
